VIN,CarId,Color,FuelType,Aspiration
A6F0W6YJMU6KPAEWT,42,SlateGrey,Gas,std
A6J8LHYY0KDGGQQAA,208,DarkBlue,Gas,std
A75GQE0AKRWCYIMQV,207,Crimson,Gas,std
A91YN14MAW4IWSIH2,208,DarkGreen,Gas,std
AAS75KHKTTGXX1D1M,153,Silver,Gas,turbo
AB9XRZIJSE6ERA1S7,187,MetallicBlueViolet,Gas,std
AFGGWVWU9Z3TT1002,158,Azure,Gas,std
AMBC6BM5EI9BJG5HR,207,DarkGreen,Gas,std
APO22YJHDGPOHDYDZ,146,Yellow,Gas,std
APPCZDN8XT2RD77PP,67,Crimson,Gas,std
APZK8MLD6NRH8AE1B,125,Grey,Gas,std
AQ4312HPF4LE4RC34,229,Yellow,Gas,std
AQTB6Y67HX3106CE2,216,DarkRed,Gas,std
AQZ7SJ596K9GXUIOY,224,White,Gas,turbo
AV9K50ANNDYXIU270,11,Red,Gas,turbo
AV9M6DEWSQUX2VB4L,35,Yellow,Gas,turbo
B59G1Z6XDWV7WKA7V,32,Red,Gas,std
B59XQZAWXZ0NDPO7V,158,Red,Gas,std
B6CQ2IMGB37U6PZ7I,214,DarkBlue,Gas,std
B76MOUW76D6W7JL82,193,DarkRed,Gas,std
B9NTZYHWYRNIIQ4SW,69,DarkBlue,Gas,turbo
B9PZWXB8HEJUISEUG,140,Crimson,Gas,std
B9TIR0Q7N9CHFMYT1,39,DarkGreen,Gas,std
BBAWQA6H4DGS3R6GQ,206,DarkRed,Gas,std
BCBH8NN5VYDYJKHLN,130,SlateGrey,Gas,std
BCYQLBG6Q8FQ17JHS,131,Green,Diesel,std
BGCYBR1K8A3SIH5BI,153,Silver,Gas,std
BHUJXHGM87M8OYQC3,201,Silver,Gas,std
BI17IAKKRCY0G97KV,9,DarkRed,Gas,turbo
BKIT5RRDY8EZUC8OJ,98,Black,Gas,turbo
BKJTNLSOFKX67RATP,188,DarkGrey,Gas,std
BLQN7CB06PSFBFH60,44,White,Gas,turbo
BMDH2753DOHI7A6JC,147,DarkGrey,Gas,std
BNYRLNFUOL8N4ZVRK,200,DarkBlue,Gas,turbo
BOP2XCCXIGHE7N6TQ,190,Orange,Gas,std
BPNVBNVOYNLAQFNXX,173,Orange,Gas,std
BT1VLX6KY36H8415H,56,Green,Diesel,std
BU90U8QBV69ZU7O2Q,1,MetallicBlueViolet,Gas,std
BWLRL6C3S7FLTGJHE,108,Yellow,Gas,std
BYB1QU30XBIVBOZFW,160,DarkGrey,Gas,std
C3HQP1N2WPQ89RD8D,131,Black,Gas,turbo
C461JCACRS28PP9FE,182,DarkGreen,Gas,turbo
C5JQCH80ZJZ2FM75Y,110,Black,Gas,std
C6L9JOR2RLTMIX1AA,83,Azure,Gas,std
C6YR9TT3ZTYR07RKP,38,Red,Gas,turbo
C7E8VYEFKHEFWOQUT,46,Black,Gas,std
C8IR133QT4UP6GHDN,178,White,Gas,std
C9K5G0FZRCYZ51ISQ,72,Green,Gas,std
C9WOSS0432QNWQA0V,70,MetallicBlueViolet,Gas,turbo
CACRAS08TJUV3LWH8,215,DarkGrey,Gas,std
CBJLTFEOWI1VKNFN2,202,Red,Gas,turbo
CCADR3J463Z5F161K,60,Orange,Gas,std
CHI3MMG1JE0PTAOBH,120,Green,Gas,std
CI3IA2MUNCLR5GJM0,76,Crimson,Gas,std
CK5UYNK4TNSS7YLHB,38,DarkRed,Gas,std
CKGQUYVKRD7CEKPL4,92,SlateGrey,Gas,std
CKL69LZPDRCYA2BTA,93,Blue,Diesel,std
CM6WVRC0NHBFWEITJ,19,Crimson,Gas,std
CMH6AVGO365HV1KZQ,230,DarkBlue,Gas,turbo
CMVR75IWJ5GLC8L5Y,125,Orange,Gas,std
CN95IASZ7AUJY9EHU,113,DarkGrey,Gas,std
CNMM2Y5DRX1VJ4FCZ,228,Red,Gas,std
COKNDHGMJK96FU9FX,91,DarkGreen,Gas,std
COOYNIPSTXTV1H3HR,207,Yellow,Gas,std
COZJSZRXYJ2WVZ2BC,111,Orange,Gas,std
CQWRHUIZ3BVT33FI7,166,White,Diesel,turbo
CS0JNCA9M7V47J46A,171,DarkGreen,Gas,std
CVR0G7GWQBIXCTT0Y,25,Crimson,Gas,std
CXKBJ496OZZ6MCG3Q,31,Red,Gas,std
CYJVQUCYORU3W91EY,159,MetallicBlueViolet,Gas,turbo
CZIIASR0YJWGQESSY,170,Azure,Gas,turbo
CZN2148RDBFULZZ9D,127,DarkBlue,Gas,std
CZNZ1Z17CE6GE2EJ0,107,SlateGrey,Electric,std
D3DICI7X4CN7389ND,41,DarkBlue,Electric,std
D5U6AM7SGPEBLL3YP,129,DarkGreen,Gas,std
D6OVNQFM7S42BUPSO,110,White,Gas,std
D7L6U0URUJEHL53MF,103,Black,Diesel,std
D9NR4FLZD8HYSZHEP,48,Azure,Gas,std
DB2JXBWBLCL09FJFU,13,SlateGrey,Gas,std
DBM9C43ALR2DRYF8S,90,SlateGrey,Gas,turbo
DEABAFDHU1PTAX1V5,51,SlateGrey,Gas,std
DEDYBIW3PQAP0YE3K,210,Yellow,Gas,std
DEGSYKKW3A647RELE,107,DarkGrey,Gas,std
DFMBPCG5Y5GSB65DH,105,Green,Gas,std
DGLE0YSX9BTE8ZY4F,43,MetallicBlueViolet,Diesel,turbo
DHPVT5LN2MSGSMEMP,65,MetallicBlueViolet,Gas,std
DI3HTJK0325IIFWWM,129,Azure,Gas,std
DJ693FHJU3N4HGPU2,26,DarkRed,Gas,std
DKBRVOV3S4RCZEE3Z,200,Green,Gas,turbo
DKEHYX2WNUCTUP8KI,156,DarkGrey,Gas,std
DQTNAHNSO9FE6AHGW,163,SlateGrey,Diesel,std
DRO9OF9GDWEPDU90B,25,DarkGreen,Gas,std
DW4MISZ52U5R2C921,62,DarkGreen,Gas,turbo
DWFZ7XSBM4FBBFFOW,31,DarkBlue,Gas,std
DWHPNUPRWOL040GB4,163,Silver,Gas,std
DZ42BCLDOEMFZ6MIG,134,Blue,Gas,std
E117UTLWAYYW7YIAG,79,DarkGreen,Gas,std
E2TACTUQT7GB9EGDA,95,Black,Gas,turbo
E3W97Z31LEGYBROE6,1,Yellow,Gas,turbo
E4Q7RPYIZ93FQ01W1,10,Crimson,Gas,turbo
E55ZK1LVHO5LY26NK,37,SlateGrey,Gas,std
E5O5SNEUDU7NA1B9L,37,DarkGreen,Gas,std
E6DROFA0ADC7NIC3R,94,Silver,Gas,std
E6I1WU4V68P2YI9EZ,224,Azure,Gas,turbo
E73WPS71QUWYR1K45,167,DarkRed,Gas,turbo
EC3BZNYWSRAL9I1W5,119,DarkGreen,Gas,std
ECLBZUDYPDI4VMC26,202,DarkGreen,Gas,turbo
ECP3FBSKA1XHW2WA9,86,Green,Diesel,std
EFNY6QDB5ZNCJHATK,135,SlateGrey,Gas,std
EG03ODN01263DWJ0B,61,Blue,Gas,std
EIUC8F04QP7ZRMPC4,48,SlateGrey,Gas,std
EMXSVQ3Y4TPYYII48,140,Green,Gas,std
EN10AC6O7UJ3TL3E0,203,DarkGrey,Diesel,std
EN8IUYMYP6W0GTHDX,95,Black,Gas,turbo
ENUET17QT3UMC8XZH,156,Silver,Gas,std
EOX18OP7DSYDUEBIW,11,Azure,Gas,std
EPJYYE359H2R4ZOQ5,196,Crimson,Diesel,std
EQ4OEBLVRVOWHQZZX,7,Orange,Gas,std
EQQ1NZWQZALHWSQFN,36,SlateGrey,Gas,turbo
EQX6P494E4I8HNPD5,230,DarkGreen,Gas,std
ERECEJKRANTGCK6RF,224,Azure,Gas,std
ESR85BB0HP4B7MVXB,8,Blue,Gas,turbo
EU43HLVVCTNQ2CRAY,95,DarkBlue,Gas,std
EUEXJTX17A374K9XM,54,Orange,Gas,std
EV2ACSWSTKFJW079L,4,DarkGrey,Gas,std
EVMUI4F2YI2KZRXB2,26,White,Gas,std
EWXFMBWGCU2Q31C95,65,Grey,Gas,std
F023D5UORZMCUJSZU,190,Red,Gas,std
F2HL5AJ4XECT7EPN5,171,DarkGreen,Diesel,std
F3KIGZ2TH6NJ5MAGV,80,DarkRed,Gas,turbo
F8MB6Z8E20PB290YW,196,DarkGrey,Gas,std
F9SERNO4LE8QQHBAL,70,Black,Gas,std
FAI680RIPX4K44AZT,57,DarkRed,Gas,std
FAJJFBREYNPAVBUO8,185,Black,Gas,std
FCCC0JZUGXD4WUZFR,211,DarkBlue,Gas,std
FCM7KGGHWBVR1YWGU,109,DarkBlue,Gas,std
FD1TVF0TV09OJQZC5,9,Black,Gas,std
FDE0JJMLJNYB0UJM3,3,Crimson,Gas,std
FF3WNNWC31JGM1HZF,116,DarkGrey,Diesel,turbo
FJ80LSTGDWVA9R23E,126,SlateGrey,Gas,std
FJJSIW0EIIGUERE2M,90,DarkRed,Gas,std
FKK18KHFUOIL4VVVR,194,MetallicBlueViolet,Gas,std
FLB3D1BYJ9OTRT6QS,163,Grey,Gas,std
FLTKGVXGGJBWSRPG5,83,DarkRed,Gas,std
FLY37HU3MGAAQ0JTD,152,Grey,Gas,std
FM7TA6Q201H1QXYK2,48,MetallicBlueViolet,Gas,std
FMGR3RW4GOYJ9890L,108,Black,Diesel,std
FNJ3OLEAJETORSVKG,10,Green,Diesel,std
FOW5XT4RSWMAVKL2I,22,Yellow,Diesel,std
